,player_name,Season,Fastballs,velocity,spin_rate,pitch_percent,total_pitches,days_injured
2337,Gregory Infante,2018,105,93.4,2099,70.5,149,0
2338,Tim Collins,2018,105,92.5,2228,56.1,187,0
2339,Erick Fedde,2018,104,88.3,2062,20.1,517,0
2340,Nick Goody,2018,103,91.1,2197,52,198,0
2341,Brett Anderson,2018,103,91.1,1998,17.7,581,1
2342,Andrew Miller,2018,100,93.1,2036,39.4,254,1
2343,Jeurys Familia,2018,100,96.3,2229,12.9,775,0
2344,Aaron Loup,2018,99,83.9,2509,15.4,641,1
2345,Erasmo Ramirez,2018,97,87.7,2307,64.7,150,0
2346,Jose Ramirez,2018,97,94.6,2300,62.6,155,0
2347,Jeff Hoffman,2018,96,92.7,2382,53,181,0
2348,Ray Black,2018,95,97.7,2624,67.4,141,0
2349,Tommy Kahnle,2018,94,94.9,2240,49.7,189,0
2350,Rob Zastryzny,2018,93,87.6,2312,83.8,111,0
2351,Javy Guerra,2018,93,93.3,2127,45.6,204,0
2352,Nick Rumbelow,2018,92,93.2,1931,52,177,0
2353,Giovanny Gallegos,2018,92,94.2,2389,58.6,157,0
2354,Aaron Wilkerson,2018,91,88.9,2256,54.8,166,0
2355,Derek Law,2018,91,93.5,2180,52.6,173,0
2356,Buddy Baumann,2018,90,88.7,2306,76.9,117,0
2357,Marcus Walden,2018,89,90.3,2279,41.8,213,0
2358,Josh Smoker,2018,89,92.9,2183,65,137,0
2359,Aaron Slegers,2018,88,90,1991,44.9,196,0
2360,Chris Flexen,2018,86,91.5,2202,57,151,0
2361,Tyler Beede,2018,86,92.2,2248,51.8,166,0
2362,Zac Reininger,2018,84,94.5,2318,66.1,127,0
2363,Ryan Brasier,2018,84,97,2293,56,150,0
2364,Kendall Graveman,2018,83,90.6,2552,13.1,632,1
2365,Jeff Beliveau,2018,83,88.9,2366,70.3,118,0
2366,Glenn Sparkman,2018,82,94.2,2261,55.4,148,0
2367,Chad Bell,2018,81,90.5,2259,65.9,123,0
2368,Jacob Turner,2018,79,93.1,2036,63.2,125,0
2369,Preston Guilmet,2018,79,90.9,2098,40.7,194,0
2370,Ervin Santana,2018,79,89.3,2125,42.7,185,0
2371,Jared Hughes,2018,79,92.8,2133,9.4,842,0
2372,Lucas Sims,2018,78,92.6,2388,38.8,201,0
2373,Tyler Webb,2018,77,88.9,2181,57.9,133,0
2374,Tyler Thornburg,2018,76,93.4,2434,55.5,137,0
2375,Johnny Barbato,2018,76,94.3,2055,57.6,132,0
2376,Justin Haley,2018,75,91.9,2047,58.1,129,0
2377,Dan Otero,2018,75,90,2124,11.8,635,0
2378,Gerson Bautista,2018,73,96.9,2336,81.1,90,0
2379,Chih-Wei Hu,2018,72,92.7,2386,51.8,139,0
2380,Cory Mazzoni,2018,71,93.5,2189,57.7,123,0
2381,Randall Delgado,2018,71,92,2272,55.9,127,0
2382,Zack Littell,2018,70,91.3,2035,62.5,112,0
2383,D.J. Snelten,2018,67,89,1707,61.5,109,0
2384,Nestor Cortes,2018,67,87.9,2204,62,108,0
2385,Yency Almonte,2018,67,95.7,2256,72.8,92,0
2386,Austin Voth,2018,67,90.7,2207,67.7,99,0
2387,Casey Lawrence,2018,67,90.6,2242,26.6,252,0
2388,Ben Taylor,2018,67,92.9,2118,67.7,99,0
2389,Danny Farquhar,2018,66,92.3,2336,56.9,116,0
2390,James Norwood,2018,66,97,2185,74.2,89,0
2391,Danny Coulombe,2018,65,89.6,2312,16.6,392,0
2392,Gabriel Moya,2018,64,89.9,2097,41.6,154,0
2393,Cory Gearrin,2018,64,91.9,2249,9.3,689,0
2394,Kris Medlen,2018,63,89.6,2339,62.4,101,0
2395,JC Ramirez,2018,63,92.6,1981,49.2,128,0
2396,Clay Holmes,2018,62,94,2238,29.7,209,0
2397,Cionel Perez,2018,62,95.3,2172,60.2,103,0
2398,Drew Smith,2018,60,95.5,2393,68.2,88,0
2399,Taylor Cole,2018,60,93.3,2291,32.4,185,0
2400,Drew Anderson,2018,60,92.8,2266,56.6,106,0
2401,Aaron Bummer,2018,59,92.6,2103,15.5,380,0
2402,Josh Lucas,2018,59,90.6,2189,23.8,248,0
2403,Jake Barrett,2018,57,94.1,2161,58.8,97,0
2404,Kevin Shackelford,2018,57,93,2543,35.2,162,0
2405,Vidal Nuno,2018,56,89,2322,15.8,354,0
2406,Corbin Burnes,2018,56,95.4,2617,45.5,123,0
2407,Jhan Marinez,2018,56,95.2,2033,47.9,117,0
2408,Tyler Kinley,2018,56,96.1,2246,54.9,102,0
2409,Ariel Miranda,2018,54,90.7,2440,58.7,92,0
2410,Kolby Allard,2018,53,89.1,1944,65.4,81,0
2411,Colten Brewer,2018,52,92.5,2615,78.8,66,0
2412,Tyler Lyons,2018,52,89.7,2150,18.3,284,0
2413,Ryan Meisinger,2018,51,91.6,2129,48.1,106,0
2414,J.B. Wendelken,2018,51,95.6,2458,60.7,84,0
2415,Steven Wright,2018,50,83.3,1874,8.3,605,0
2416,Drew Gagnon,2018,50,91.3,1931,61.7,81,0
2417,Blake Wood,2018,50,95.1,2306,25.9,193,0
2418,Trevor Hildenberger,2018,49,92.9,2063,6.4,767,0
2419,Tommy Milone,2018,48,87.2,2173,57.1,84,0
2420,Evan Phillips,2018,47,93.8,2223,45.2,104,0
2421,Tyler Duffey,2018,47,92.7,2235,25.4,185,0
2422,Troy Scribner,2018,46,87.4,2180,46.9,98,0
2423,Ricardo Rodriguez,2018,46,95.1,2177,49.5,93,0
2424,Walker Lockett,2018,45,90.8,2176,37.8,119,0
2425,Jake Arrieta,2018,44,92.4,2304,2.4,1866,0
2426,Jose A. Valdez,2018,42,95.4,2457,54.5,77,0
2427,Alex Reyes,2018,41,94.8,2224,56.2,73,0
2428,Duane Underwood Jr.,2018,41,92.3,2157,53.2,77,0
2429,Dylan Floro,2018,41,94.2,2259,5.9,695,0
2430,Matt Shoemaker,2018,41,89.8,2114,45.6,90,0
2431,Miguel Socolovich,2018,40,90.1,1913,40.4,99,0
2432,Jake Jewell,2018,39,96.1,2157,69.6,56,0
2433,Nick Gardewine,2018,39,93.6,2382,48.8,80,1
2434,Braden Shipley,2018,39,94.3,2141,47.6,82,0
2435,Trevor Oaks,2018,39,86.8,2208,15.8,247,0
2436,Roberto Gomez,2018,35,94.4,2164,19.8,177,0
2437,Yohander Mendez,2018,35,92.4,2030,41.2,85,0
2438,Sandy Alcantara,2018,35,94.2,2155,35.7,98,0
2439,Jimmie Sherfy,2018,35,94.8,2272,46.7,75,0
2440,Jose Reyes,2018,33,81.3,2364,68.8,48,0
2441,Carlos Ramirez,2018,33,91.5,2235,20.9,158,0
2442,Ranger Suarez,2018,32,92,1929,42.7,75,0
2443,Chris Volstad,2018,32,91.2,2189,3.8,832,0
2444,Daniel Corcino,2018,31,92.7,2240,46.3,67,0
2445,Trevor Gott,2018,31,95.2,2145,13,239,0
2446,Cody Reed,2018,30,93.1,2204,30,100,0
